Intent,Pattern,Response
location,Ninawezaje kupata salon yenu?,Unaweza kutuona katika CBD na Lavington.
location,Which areas do you serve?,We serve the CBD area and Lavington.
location,Mnapatikana wapi?,Huduma zetu zinapatikana CBD na Lavington.
location,What are your branch locations?,Our branches are in CBD and Lavington.
location,Branches zenu ziko wapi?,Tuna branches katika CBD na Lavington.
contact,How can I contact you?,You can call or WhatsApp us at +254 711 187 367.
contact,Ninawezaje kuwasiliana nanyi?,Unaweza kupiga simu au WhatsApp +254 711 187 367.
contact,What is your phone number?,Reach us via phone or WhatsApp at +254 711 187 367.
contact,Nambari yenu ya simu ni ipi?,Tawasiliana nasi kupitia simu au WhatsApp: +254 711 187 367.
contact,Can I get your WhatsApp contact?,Call or WhatsApp us on +254 711 187 367 for inquiries.
contact,Unaweza kunipa contact ya WhatsApp?,Tupigie simu au WhatsApp kwa +254 711 187 367.
contact,How do I reach you?,Our contact is +254 711 187 367 via call or WhatsApp.
contact,Ninawezaje kupata huduma zenu?,Wasiliana nasi kupitia simu/WhatsApp: +254 711 187 367.
contact,What are your contact details?,"For any queries, call or WhatsApp +254 711 187 367."
contact,Maelezo ya mawasiliano yenu ni yapi?,Please contact us on +254 711 187 367 (call/WhatsApp).
services,What services do you offer?,"We offer manicure, pedicure, nail art, and spa treatments."
services,Ni huduma gani mnapotoa?,"Tunatoa manicure, pedicure, nail art, pamoja na matibabu ya spa."
services,Tell me about your nail services.,"Our services include nail care, art, and spa treatments."
services,Nipe maelezo ya huduma za kucha.,"Huduma zetu ni pamoja na kucha, nail art, na matibabu ya spa."
services,What treatments are available?,We provide comprehensive nail care and spa services.
services,Matibabu gani mnapofanya?,Tuna huduma kamili za kucha na spa.
services,Do you offer nail art?,"Yes, we offer creative nail art along with other treatments."
services,Mnapotoa nail art?,"Ndio, tuna nail art pamoja na huduma nyingine za spa."
services,What about pedicures?,"Our offerings include manicure, pedicure, and more."
services,Huduma za pedicure zipo?,"Tunatoa manicure, pedicure, na huduma nyingine."
casual_chat,Got any nail care tips?,We got you! Ask any nail care advice you need.
casual_chat,Una tips za kucha?,Tuko hapa! Swali lako la tips za kucha ni welcome.
casual_chat,How can I make my nails look great?,Keep your nails healthy with regular care and treatments.
casual_chat,Nifanyie tips za nails zangu?,Fanya care ya kucha zako mara kwa mara kwa matibabu bora.
casual_chat,Any advice for fresh nails?,Fresh nails need care; we offer tips when you visit.
casual_chat,Naweza kupata advice ya kucha?,Nails nzuri zinahitaji uangalizi. Twasiliana na tips za kuvifanyia care.
casual_chat,What’s the trend in nail art?,Check out the latest trends in nail art with us.
casual_chat,Trend ya nail art iko aje?,Angalia trends za nail art mpya na sisi.
casual_chat,How do I keep my nails strong?,Regular maintenance is key to strong nails.
casual_chat,Ninawezaje kuimarisha kucha zangu?,Uangalizi wa mara kwa mara ni muhimu kwa kucha imara.
policies,What is your dress code policy?,"We encourage casual wear, but please be neat and tidy."
policies,Sera yenu ya mavazi ni ipi?,"Tunashauri kuvaa kawaida, lakini tafadhali kuwa safi na mlipikifu."
policies,Do you have a cellphone usage policy?,Phones should be kept on silent mode to maintain a calm environment.
policies,Mna policy ya kutumia simu?,Simu ziko silent mode ili kuweka mazingira ya utulivu.
policies,What are your noise regulations?,Please observe our noise regulations for a relaxing experience.
policies,Sera yenu ya kelele iko aje?,Tafadhali zingatia sera yetu ya kelele kwa ajili ya utulivu.
policies,Tell me about your spa policies.,Our spa policies ensure a pleasant experience for everyone.
policies,Ni sera gani mnapofuata kwenye spa?,Sera zetu za spa zinalenga utulivu na starehe ya wote.
policies,What rules should I follow during my visit?,"Follow our simple rules: be neat, keep phones silent, and respect others."
policies,Ni kanuni gani napaswa kufuata?,"Fuata kanuni zetu: usiwe na kelele, simu silent, na uwe mwembamba."
